"Gender","Clinical.Y.N","Feedback","ID"
"F","N","tried change gp online system gave error code explanation really starting affect daytoday",133
"F","N","app keeps asking verification code never sends one tried multiple times different devices",134
"F","N","prescription list missing one regular meds now gone cant reorder talked friends theyve similar issues",135
"M","N","keeps saying session expired even just logged happens almost every time try book appointment hoping can resolved soon",136
"M","N","changed phone number gp surgery two weeks ago still showing old one account might worth checking others experiencing",137
"M","N","cant log even resetting password",138
"M","N","moved house updated address online still shows old one try book appointment really starting affect daytoday",139
"M","Y","experiencing chest tightness constant",140
"M","N","submitted request fit note havent received confirmation followup need urgently work sure next",141
"F","Y","eczema flared badly red itchy patches arms neck using creams doesnt seem help much talked friends theyve similar issues",142
"M","Y","experiencing back pain started recently sure causing",143
"F","Y","chronic migraine attacks becoming frequent sometimes cant even look light without feeling nauseous",144
"F","Y","chronic fatigue setting feel wiped even minor tasks wondering common",145
"F","Y","experiencing leg weakness affecting daily life never anything like",146
"F","Y","experiencing numbness fingers gets worse night sure causing",147
"M","Y","experiencing numbness fingers constant finding hard manage work",148
"F","Y","experiencing chest tightness feels sharp finding hard manage work",149
"F","Y","sleep disturbed due abdominal cramps come go wondering common",150
"F","Y","theres tingling sensation fingers lasts hours time",151
"M","N","fit note request response though contacted support last week",152
"M","N","keep trying log nhs app crashes every time open updated latest version restarted phone luck hoping can resolved soon",153
"F","Y","experiencing insomnia worsening",154
"F","Y","experiencing chest tightness started recently",155
"M","N","support form just reloads page click submit really frustrating hoping get sorted soon",156
"M","Y","experiencing shoulder discomfort dull persistent never anything like",157
"F","N","app doesnt seem support landscape mode problem using tablet keyboard attached really starting affect daytoday",158
"M","N","system send verification email matter many times try",159
"M","Y","experiencing dizziness constant wondering see someone",160
"M","N","profile save changes becoming really frustrating",161
"M","N","prescription order disappeared matter many times try",162
"M","N","every time try order repeat prescription get message saying service unavailable like days hoping can resolved soon",163
"F","Y","experiencing chest tightness started recently going weeks",164
"M","Y","feel exhausted time even full nights sleep also unexplained weight loss headaches sure next",165
"F","Y","back pain worsens evenings especially walking standing day wondering common",166
"F","N","entered wrong email registering now cant verify account change without logging hoping can resolved soon",167
"M","Y","experiencing chest tightness worsening wondering see someone",168
"F","Y","back pain worsens evenings especially walking standing day affecting routine badly",169
"F","Y","chronic migraine attacks becoming frequent sometimes cant even look light without feeling nauseous sure next",170
"M","Y","sleep disturbed due abdominal cramps come go affecting routine badly",171
"M","N","keep getting error message matter many times try",172
"M","N","cant update contact details button just doesnt respond",173
"F","N","site log every minutes incredibly frustrating middle filling details",174
"F","Y","experiencing chest tightness started recently sure causing",175
"M","N","prescription order disappeared even resetting password",176
"F","N","entered wrong email registering now cant verify account change without logging sure next",177
"M","N","email verification arriving even though tried resending twice",178
"F","N","app keeps asking verification code never sends one tried multiple times different devices might worth checking others experiencing",179
"F","Y","experiencing joint stiffness feels sharp sure causing",180
"M","Y","headaches becoming frequent lasting hours mostly around temples hoping get sorted soon",181
"F","N","dashboard loads instantly freezes happens wifi 4g idea causing",182
"M","Y","experiencing abdominal cramps constant finding hard manage work",183
"F","N","prescriptions tab showing anymore used work fine idea causing",184
"F","Y","knees clicking feel unstable sometimes painful bending",185
"M","Y","experiencing numbness fingers affecting daily life never anything like",186
"F","N","entered wrong email registering now cant verify account change without logging might worth checking others experiencing",187
"M","Y","experiencing leg weakness gets worse night never anything like",188
"M","N","app keeps crashing even use different device",189
"M","Y","experiencing shoulder discomfort comes goes wondering see someone",190
"M","N","prescriptions tab showing anymore used work fine hoping get sorted soon",191
"M","Y","experiencing back pain comes goes finding hard manage work",192
"F","Y","feel exhausted time even full nights sleep also unexplained weight loss headaches really starting affect daytoday",193
"M","N","keeps saying session expired even just logged happens almost every time try book appointment talked friends theyve similar issues",194
"F","N","every time try order repeat prescription get message saying service unavailable like days sure next",195
"F","N","system send verification email",196
"F","Y","experiencing back pain worsening",197
"F","N","cant update contact details though contacted support last week",198
"M","N","prescription order disappeared though contacted support last week",199
"F","N","prescription list missing one regular meds now gone cant reorder",200
"M","Y","started abdominal cramps last week mostly evening eating seems make worse especially anything fried hoping can resolved soon",201
"M","N","system send verification email becoming really frustrating",202
"M","N","system send verification email despite updating multiple times",203
"M","Y","experiencing migraine gets worse night going weeks",204
"M","Y","experiencing dizziness dull persistent going weeks",205
"M","Y","experiencing numbness fingers feels sharp",206
"M","Y","started abdominal cramps last week mostly evening eating seems make worse especially anything fried",207
"M","Y","sleep disturbed due abdominal cramps come go idea causing",208
"F","N","dashboard loads instantly freezes happens wifi 4g never happened",209
"F","N","prescriptions tab showing anymore used work fine",210
"M","N","app doesnt seem support landscape mode problem using tablet keyboard attached sure next",211
"F","Y","experiencing migraine affecting daily life finding hard manage work",212
"M","N","login loop issue app keeps asking sign right wondering common",213
"M","N","support form just reloads page click submit really frustrating never happened",214
"M","N","app keeps crashing though contacted support last week",215
"M","N","keep trying log nhs app crashes every time open updated latest version restarted phone luck might worth checking others experiencing",216
"F","Y","back pain worsens evenings especially walking standing day hoping get sorted soon",217
"F","Y","experiencing chest tightness gets worse night going weeks",218
"F","N","submitted request fit note havent received confirmation followup need urgently work hoping can resolved soon",219
"F","Y","started abdominal cramps last week mostly evening eating seems make worse especially anything fried talked friends theyve similar issues",220
"M","N","dashboard loads instantly freezes happens wifi 4g",221
"F","N","prescriptions tab showing anymore used work fine never happened",222
"F","Y","sleep disturbed due abdominal cramps come go hoping get sorted soon",223
"F","Y","experiencing leg weakness dull persistent going weeks",224
"M","N","moved house updated address online still shows old one try book appointment might worth checking others experiencing",225
"F","Y","experiencing shoulder discomfort dull persistent going weeks",226
"M","Y","knees clicking feel unstable sometimes painful bending wondering common",227
"F","N","fit note requested last week updates since need work asap affecting routine badly",228
"F","N","cant update contact details button just doesnt respond wondering common",229
"F","Y","knees become increasingly stiff painful particularly mornings sometimes make popping sound walk might worth checking others experiencing",230
"M","N","address linked account years date idea fix never happened",231
"F","N","login loop issue app keeps asking sign right",232
"F","N","fit note request response despite updating multiple times",233
"M","N","prescription said sent pharmacy hasnt received anything yet hoping get sorted soon",234
"M","Y","experiencing numbness fingers gets worse night going weeks",235
"F","N","cant update contact details despite updating multiple times",236
"M","Y","experiencing back pain worsening finding hard manage work",237
"F","Y","got strange tingling left arm comes goes doesnt hurt exactly feels hard describe might worth checking others experiencing",238
"F","N","dashboard loads instantly freezes happens wifi 4g affecting routine badly",239
"F","Y","experiencing insomnia worsening sure causing",240
"M","N","app doesnt seem support landscape mode problem using tablet keyboard attached",241
"M","Y","knees become increasingly stiff painful particularly mornings sometimes make popping sound walk talked friends theyve similar issues",242
"F","Y","experiencing insomnia affecting daily life finding hard manage work",243
"F","N","submitted request fit note havent received confirmation followup need urgently work",244
"M","N","app keeps asking verification code never sends one tried multiple times different devices really starting affect daytoday",245
"M","N","changed phone number gp surgery two weeks ago still showing old one account hoping can resolved soon",246
"F","Y","dizziness started affecting ability concentrate work idea causing",247
"F","Y","experiencing shoulder discomfort started recently sure causing",248
"M","Y","back pain worsens evenings especially walking standing day never happened",249
"M","Y","stomach issues every meal feels bloated gassy especially afternoon never happened",250
"M","Y","headaches becoming frequent lasting hours mostly around temples wondering common",251
"F","Y","experiencing back pain comes goes sure causing",252
"M","N","cant update contact details button just doesnt respond idea causing",253
"M","Y","theres tingling sensation fingers lasts hours time hoping get sorted soon",254
"M","Y","headaches becoming frequent lasting hours mostly around temples",255
"F","Y","pain chest walking stairs severe uncomfortable goes away rest dont history heart issues new talked friends theyve similar issues",256
"F","N","cant update contact details becoming really frustrating",257
"F","N","address still wrong",258
"F","Y","experiencing numbness fingers affecting daily life going weeks",259
"M","Y","dizziness started affecting ability concentrate work hoping get sorted soon",260
"F","N","every time update details revert back logging like changes arent saved talked friends theyve similar issues",261
"F","Y","experiencing chest tightness affecting daily life never anything like",262
"F","Y","experiencing chest tightness constant going weeks",263
"M","N","app logs randomly though contacted support last week",264
"M","N","fit note request response",265
"F","Y","experiencing leg weakness comes goes sure causing",266
"M","Y","experiencing leg weakness worsening sure causing",267
"F","N","address still wrong even resetting password",268
"M","N","address linked account years date idea fix wondering common",269
"F","Y","experiencing numbness fingers worsening going weeks",270
"F","Y","eczema flared badly red itchy patches arms neck using creams doesnt seem help much might worth checking others experiencing",271
"M","Y","experiencing migraine comes goes wondering see someone",272
"F","Y","experiencing joint stiffness affecting daily life finding hard manage work",273
"M","Y","experiencing chest tightness comes goes wondering see someone",274
"M","N","tried calling support line just goes dead initial menu theres clear way get help might worth checking others experiencing",275
"M","N","every time update details revert back logging like changes arent saved might worth checking others experiencing",276
"F","Y","experiencing leg weakness worsening wondering see someone",277
"F","Y","experiencing joint stiffness gets worse night wondering see someone",278
"F","Y","feel exhausted time even full nights sleep also unexplained weight loss headaches talked friends theyve similar issues",279
"F","Y","experiencing back pain comes goes",280
"F","Y","experiencing migraine feels sharp going weeks",281
"F","Y","back pain worsens evenings especially walking standing day",282
"F","N","fit note requested last week updates since need work asap never happened",283
"M","N","keep getting error message",284
"M","N","site log every minutes incredibly frustrating middle filling details might worth checking others experiencing",285
"F","N","address linked account years date idea fix hoping get sorted soon",286
"M","Y","knees clicking feel unstable sometimes painful bending affecting routine badly",287
"M","Y","dizziness started affecting ability concentrate work wondering common",288
"F","N","prescription list missing one regular meds now gone cant reorder hoping can resolved soon",289
"F","Y","email verification arriving even though tried resending twice affecting routine badly",290
"M","Y","fit note requested last week updates since need work asap wondering common",291
"M","Y","experiencing shoulder discomfort affecting daily life never anything like",292
"M","Y","last couple months persistent lower back pain thats worsened sitting long periods tried using heat packs real improvement hoping can resolved soon",293
"F","N","changed gp settings still shows old one check profile never happened",294
"F","Y","experiencing regular dizziness especially standing quickly started mildly become noticeable related medication side effects really starting affect daytoday",295
"F","Y","started abdominal cramps last week mostly evening eating seems make worse especially anything fried sure next",296
"M","N","address still wrong despite updating multiple times",297
"F","Y","experiencing migraine started recently",298
"F","N","login loop issue app keeps asking sign right idea causing",299
"F","N","site log every minutes incredibly frustrating middle filling details really starting affect daytoday",300
"F","N","prescription said sent pharmacy hasnt received anything yet affecting routine badly",301
"M","Y","got strange tingling left arm comes goes doesnt hurt exactly feels hard describe really starting affect daytoday",302
"F","Y","chronic migraine attacks becoming frequent sometimes cant even look light without feeling nauseous really starting affect daytoday",303
"F","N","changed gp settings still shows old one check profile",304
"F","Y","dizziness started affecting ability concentrate work never happened",305
"M","N","cant reset password system tells sent reset link nothing arrives even junk folder really starting affect daytoday",306
"F","N","email verification arriving even though tried resending twice idea causing",307
"F","Y","experiencing joint stiffness constant going weeks",308
"M","Y","getting numbness fingers using keyboard long wondering carpal tunnel hoping can resolved soon",309
"F","N","keeps saying session expired even just logged happens almost every time try book appointment really starting affect daytoday",310
"F","N","changed phone number gp surgery two weeks ago still showing old one account sure next",311
"F","N","tried change gp online system gave error code explanation hoping can resolved soon",312
"M","N","cant reset password system tells sent reset link nothing arrives even junk folder sure next",313
"M","N","keep getting error message even resetting password",314
"F","Y","experiencing shoulder discomfort feels sharp wondering see someone",315
"M","Y","experiencing shoulder discomfort constant finding hard manage work",316
"M","N","app keeps crashing despite updating multiple times",317
"F","Y","getting numbness fingers using keyboard long wondering carpal tunnel sure next",318
"M","N","dashboard loads instantly freezes happens wifi 4g hoping get sorted soon",319
"F","Y","knees clicking feel unstable sometimes painful bending idea causing",320
"F","Y","experiencing numbness fingers affecting daily life finding hard manage work",321
"F","Y","experiencing insomnia comes goes going weeks",322
"M","N","cant log even use different device",323
"F","N","submitted request fit note havent received confirmation followup need urgently work might worth checking others experiencing",324
"M","Y","fit note requested last week updates since need work asap",325
"M","N","moved house updated address online still shows old one try book appointment talked friends theyve similar issues",326
"M","N","address still wrong though contacted support last week",327
"F","N","address linked account years date idea fix idea causing",328
"F","Y","experiencing insomnia affecting daily life",329
"M","Y","headaches becoming frequent lasting hours mostly around temples idea causing",330
"F","N","keep trying log nhs app crashes every time open updated latest version restarted phone luck sure next",331
"M","Y","experiencing insomnia dull persistent never anything like",332
"F","N","prescription order disappeared",333
"F","N","cant update contact details even resetting password",334
"F","Y","shoulder pain radiating arm started last week worse morning idea causing",335
"M","N","site log every minutes incredibly frustrating middle filling details hoping can resolved soon",336
"M","Y","chronic fatigue setting feel wiped even minor tasks hoping get sorted soon",337
"F","N","app logs randomly becoming really frustrating",338
"F","N","keep getting error message even use different device",339
"F","N","profile save changes even use different device",340
"F","N","app doesnt seem support landscape mode problem using tablet keyboard attached might worth checking others experiencing",341
"M","N","changed phone number gp surgery two weeks ago still showing old one account really starting affect daytoday",342
"M","Y","feel exhausted time even full nights sleep also unexplained weight loss headaches",343
"M","N","support form just reloads page click submit really frustrating wondering common",344
"M","Y","chronic fatigue setting feel wiped even minor tasks idea causing",345
"M","N","prescription order disappeared becoming really frustrating",346
"F","Y","chronic fatigue setting feel wiped even minor tasks affecting routine badly",347
"F","Y","experiencing insomnia constant wondering see someone",348
"F","Y","experiencing insomnia started recently wondering see someone",349
"F","Y","experiencing insomnia affecting daily life sure causing",350
